,Brand,Date,Name,Product ID,Rating,Review,Review Title,Source,Usefulness
0,Hamilton Beach,"January 23, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,4,"Love the functionality of this coffee maker.  Fits on counter under my cabinets.  I have it near my sink, and I can just swivel it to the side, flip open the water compartment lid, and fill with water using my sink hose.  The coffee basket opens to allow front access, so I don't have to spoon coffee grounds over the top of the maker, which prevents a problem I've had w/other coffee makers....  spilling grounds where they shouldn't be, like into the machine or carafe.  There aren't many buttons to fool with, which I like because I don't use them anyway.  The carafe opens all the way for easy cleaning and could go into the dishwasher if I want.  If I were looking for a negative, I'd say that the carafe is very thin glass, so if you give it a decent bang against something it could break.  But I really love the coffee pot, and other than a potentially fragile carafe, I'd highly recommend it.",All the features I want but carafe could be the weakest link,Amazon,0
1,Hamilton Beach,"January 22, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,2,It’s okay I guess for the price very slow dripping,I would not purchase again,Amazon,0
2,Hamilton Beach,"January 22, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,1,The faceplate over the controls and clock falls off CONSTANTLY! And the coffee seems weak. I won't buy another Hamilton Beach coffee maker.,Wanted to love it... but can't,Amazon,0
3,Hamilton Beach,"January 22, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,3,The coffee filter basket was defective. It would not latch shut.,Returned due to defective filter basket,Amazon,0
4,Hamilton Beach,"January 22, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,5,"Well designed, easy to remake, keeps coffee hot enough. No complaints.",Great coffee pot at a low price!,Amazon,0
5,Hamilton Beach,"January 20, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,5,"I was looking for a very low cost, simple unit for daily use, but my one minimum requirement was for pre-set, automatic brewing time so coffee would be ready when I stumbled into the kitchen half asleep in the morning. MANY products to choose from, but the price on this unit was appealing and I was attracted to its swivel base and detachable water container for easy filling at a faucet (rather than having to fill the carafe and pour that into a fixed tank). I was concerned by reviews that cited brewing coffee overflowing the coffee basket with larger brew sizes, but since I typically only brew six cups, I thought I would not encounter that problem and bought it. Honestly, I have to rate this as a 5, far exceeding my (admittedly minimal) expectations. It is easy to set up and has worked perfectly for the several months we have used it. Although my largest brew size to date has only been ten cups, you can see from my attached picture that with fine-to-medium ground coffee beans, the brewing coffee level was well below the top of the paper basket. (Maybe other reviewers used super ground coffee or packed it into the basket? Anyway, I am pretty confident I will succeed with 12 cups using my grinder setting.) Note: Since my wife and I HATE stale coffee, I would prefer that this Hamilton Beach unit have burner on/off choice rather than three temperature selections. But we still think the product deserves an overall 5 rating.  (We previously used thermal carafe units to keep coffee warm without getting stale from long-term burner cooking (the last from Melitta - reviewed negatively on this site because the flawed carafe leaks all over when pouring and their customer support is poor).","Simple, very usable design at a very low price",Amazon,0
6,Hamilton Beach,"January 19, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,5,"This is the second one of these that I have bought, and I loved them both.  The biggest advantage:  The plastic carafe that sits on the back of the machine is so much easier to fill and set onto the machine than the typical glass carafe that has to be filled and then poured into the top of the coffeemaker.  This machine also has an easy-to-program timer (so you can wake up to the smell of coffee in the morning!), 1-4 cup setting, and, my favorite: a bold setting.  I also like that it doesn’t take up a lot of space on the counter, and, frankly, it looks like a much more expensive coffeemaker than it is.",So easy to fill; programmable; looks more expensive than it is,Amazon,0
7,Hamilton Beach,"January 19, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,4,"Very good coffee maker, easy to use, packaged well for shipment, arrived quickly.",Good Quality-Packaged Well,Amazon,0
8,Hamilton Beach,"January 18, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,3,"Loved the removable water reservoir, coffee grounds basket and controls/display. But after about 1 1/2  years of use, the coffee strength button has become stuck on the 'Bold' setting, and water leaks out from the very bottom of unit onto the kitchen counter frequently. The problem would seem to be fixed for a time when coffee maker was cleaned using a 3 to 1 white vinegar to water ratio, but after only 4-5 days later, the leaking water problem would come back. Not sure why this is such a problem. We do have water with a very high salt content, but I only use filtered water from my refrigerator water dispenser with which to brew coffee, which I think should nullify salt as the cause of the problem, as we've never noticed any visible build up of dissolved solids inside the reservoir or any where else on the coffee maker. Wish I could give it more stars, as I like the overall design and coffee taste.",WATER LEAKAGE PROBLEM,Amazon,0
9,Hamilton Beach,"January 18, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,5,Great coffee maker 👍,Easy to use,Amazon,0
10,Hamilton Beach,"January 18, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,4,works as advertised-good unit,good unit,Amazon,0
11,Hamilton Beach,"January 17, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,4,Works well. Brews good coffee. What more could you want?,Great!,Amazon,0
12,Hamilton Beach,"January 14, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,5,"This coffeee maker is very easy to oporate, makes great coffee, and is very easy to clean.",Makes great coffee!,Amazon,0
13,Hamilton Beach,"January 14, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,1,"I really liked this coffee maker when we first got it.  I liked that the water reservoir was removable and we could take that to the sink to fill it instead of filling the carafe and having that water drip out while being poured in...But then it suddenly stopped working.  It would brew, and not all of the water would go through, so about half the water was still left in the back reservoir after it stopped brewing.  UGH!  Just bought a new Cuisanart one...Hopefully it will last longer than 6 months, but the reviews are mixed on that one too.  Its a coffee maker - how hard does it have to be to find a GOOD ONE!!!!!",Died after 6 months,Amazon,0
14,Hamilton Beach,"January 14, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,5,Makes great coffee and is easy to use and make the coffee fast.,Easy to use and makes the coffee fast.,Amazon,0
15,Hamilton Beach,"January 14, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,3,"We needed a new 12 cup coffeemaker and I was drawn to this brand by various rating sources. Although I agree it does make good coffee for it's price point, I am afraid it's destined for return to Amazon. The deal breaker for us was It's weight and size. For us that means leaving it out on our countertop. We prefer storing our coffeemaker out of sight.",Makes Good Coffee But Not A Good Choice For Us,Amazon,0
16,Hamilton Beach,"January 14, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,5,"We were looking to replace our Cuisinart coffee maker, which was very good and lasted about 10 years but was very difficult to clean.  This Hamilton Beach 46205 looked good and had all the right features at around 30.00, so we gave it a try.  We love it.  It is so easy to use and easy to clean and makes very good coffee.  Everything works nicely and we have absolutely no complaints.  Most of all we like the removable water container...so easy to fill, clean and take in and out under the cabinets.  The swivel feature is really nice. All and all we are really pleased with this and can't believe it was only 30.00.",A really good value,Amazon,0
17,Hamilton Beach,"January 12, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,2,Lost count of the number of times this machine leaked and I woke up to water dripping from the counter onto the floor. Finally had enough and chucked it into the garbage.,Leakier than a government source,Amazon,0
18,Hamilton Beach,"January 12, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,5,Also is new but when I use I give a better review & more clear about it,Pretty New,Amazon,0
19,Hamilton Beach,"January 12, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,5,Great coffee pot.  Easy to use.,Quality,Amazon,0
20,Hamilton Beach,"January 12, 2019","Hamilton Beach 46205 Programmable, Coffee Maker, Standard",B01N7VIDWY,4,"As advertised, but the only flaw a bit loud at the end of brewing just my two sense.",Nice product,Amazon,0
